,CellID,ClusterID,ClusterName,Region,Total_molecules,Valid,X,Y,_tSNE_1,_tSNE_2,size_pix,size_um2
181,6181,17,Inhibitory Crhbp,Layer 5,322,1,1681.868859281738,37321.687393125605,-80.69075012207031,0.07863623648881912,26340.0,111.28649999999998
182,655,17,Inhibitory Crhbp,Layer 4,98,1,18842.423441926716,26948.404867355024,-69.33241271972656,0.4494430720806122,12404.0,52.4069
183,868,17,Inhibitory Crhbp,Layer 6,468,1,18586.98602766803,22602.205895104562,-70.76119995117188,-4.81074333190918,54214.0,229.05415000000002
184,4748,17,Inhibitory Crhbp,Layer 2-3 medial,194,1,7461.838404531576,42949.1068118381,-55.748390197753906,-2.731019973754883,25511.0,107.783975
185,6720,17,Inhibitory Crhbp,Layer 2-3 medial,139,1,1040.1133891724858,44720.30621947749,-71.3503646850586,-2.6600353717803955,15506.0,65.51285000000001
186,4630,17,Inhibitory Crhbp,Layer 2-3 medial,182,1,5883.76941963951,44115.82789791971,-82.52703094482422,-3.82889986038208,21326.0,90.10234999999999
187,2061,17,Inhibitory Crhbp,Layer 4,384,1,14093.564782418327,31575.938087991002,-81.88241577148438,-0.766710102558136,37139.0,156.91227500000002
190,6288,17,Inhibitory Crhbp,Layer 6,381,1,3919.703822603333,33218.355670584715,-80.25977325439453,-3.56827974319458,34443.0,145.521675
191,6096,17,Inhibitory Crhbp,Layer 4,186,1,3987.5590991421013,38428.22928594296,-75.30558013916016,-3.2688088417053223,16265.0,68.719625
192,243,17,Inhibitory Crhbp,Layer 2-3 lateral,137,1,19380.237637922488,37035.44993641832,-81.59015655517578,-1.6191048622131348,17539.0,74.10227499999999
193,6353,17,Inhibitory Crhbp,Layer 6,12,1,2402.8205298892644,32537.586847900977,-73.7813949584961,-11.310507774353027,1315.0,5.5558749999999995
195,697,17,Inhibitory Crhbp,Layer 4,122,1,17700.52177711411,27421.71097899037,-77.01560974121094,-3.856812000274658,11920.0,50.362
196,89,17,Inhibitory Crhbp,Layer 4,429,1,21814.61001241368,31436.36675076539,-82.17224884033203,-1.644815444946289,43464.0,183.63540000000003
197,6153,17,Inhibitory Crhbp,Layer 6,298,1,2559.702910530159,34706.43196386944,-79.60357666015625,-2.3261449337005615,28907.0,122.132075
198,5113,17,Inhibitory Crhbp,Layer 5,199,1,8338.295858475565,33181.684334038415,-86.39911651611328,1.140303611755371,24785.0,104.71662500000001
199,5696,17,Inhibitory Crhbp,Layer 2-3 medial,311,1,3413.4750375946933,44882.66567996814,-76.6346206665039,-6.673769950866699,37358.0,157.83755000000002
200,2123,17,Inhibitory Crhbp,Layer 5,140,1,12707.157601779209,31244.79026399684,-74.73478698730469,-1.8824104070663452,11297.0,47.729825000000005
201,4768,17,Inhibitory Crhbp,Layer 2-3 medial,376,1,6999.6408597705195,42640.54234304427,-73.27152252197266,-7.0042195320129395,48207.0,203.674575
203,3462,17,Inhibitory Crhbp,Layer 2-3 medial,372,1,10275.357717883257,42544.152169404755,-76.3840103149414,-6.09079647064209,57502.0,242.94595
204,2510,17,Inhibitory Crhbp,Layer 6,310,1,13394.4187587891,25294.97840293245,-77.77499389648438,-5.828841209411621,42660.0,180.2385
205,3574,17,Inhibitory Crhbp,Layer 2-3 medial,347,1,12686.526395526003,37851.65154055597,-73.8194580078125,-6.082056522369385,44395.0,187.568875
207,4035,17,Inhibitory Crhbp,Layer 6,245,1,11262.309296318377,28885.948751118125,-70.62590789794922,-6.388683319091797,29701.0,125.48672499999999
208,5698,17,Inhibitory Crhbp,Layer 2-3 medial,151,1,3341.6175064057425,45266.318655482115,-68.79962921142578,-4.70979642868042,21684.0,91.61490000000002
210,4596,17,Inhibitory Crhbp,Layer 2-3 medial,343,1,6769.721065983282,43848.50187247127,-75.14955139160156,-4.977785110473633,35055.0,148.107375
211,6193,17,Inhibitory Crhbp,Layer 6,195,1,1397.709182478182,34630.54681993881,-75.04456329345703,-5.715220928192139,21240.0,89.739
212,6251,17,Inhibitory Crhbp,Layer 6,485,1,4709.118674334361,32040.838619114405,-79.20557403564453,-1.6121834516525269,53749.0,227.089525
